Year,Month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2007,12,2998331524,2998331524,,,,,2998.331524,2998.331524,,,,
2008,1,4930902570,4930902570,,,,,4930.90257,4930.90257,,,,
2008,2,4818393763,4818393763,,,,,4818.393763,4818.393763,,,,
2008,3,4955405809,4955405809,,,,,4955.405809,4955.405809,,,,
2008,4,5159162183,5159162183,,,,,5159.162183,5159.162183,,,,
2008,5,5584691092,5584691092,,,,,5584.691092,5584.691092,,,,
2008,6,5712104279,5712104279,,,,,5712.104279,5712.104279,,,,
2008,7,5306302874,5306302874,,,,,5306.302874,5306.302874,,,,
2008,8,5140155519,5140155519,,,,,5140.155519,5140.155519,,,,
2008,9,5479533823,5479533823,,,,,5479.533823,5479.533823,,,,
2008,10,5679440782,5679440782,,,,,5679.440782,5679.440782,,,,
2008,11,5415832071,5415832071,,,,,5415.832071,5415.832071,,,,
2008,12,5211708451,5211708451,,,,,5211.708451,5211.708451,,,,
2009,1,5802681551,5802681551,,,,,5802.681551,5802.681551,,,,
2009,2,5547320860,5547320860,,,,,5547.32086,5547.32086,,,,
2009,3,6295159057,6295159057,,,,,6295.159057,6295.159057,,,,
2009,4,5988817321,5988817321,,,,,5988.817321,5988.817321,,,,
2009,5,6267516733,6267516733,,,,,6267.516733,6267.516733,,,,
2009,6,5818924182,5818924182,,,,,5818.924182,5818.924182,,,,
2009,7,5801646978,5801646978,,,,,5801.646978,5801.646978,,,,
2009,8,5790850384,5790850384,,,,,5790.850384,5790.850384,,,,
2009,9,4057515768,4057515768,,,,,4057.515768,4057.515768,,,,
2009,10,6016107147,6016107147,,,,,6016.107147,6016.107147,,,,
2009,11,5768486910,5768486910,,,,,5768.48691,5768.48691,,,,
2009,12,5426505977,5426505977,,,,,5426.505977,5426.505977,,,,
2010,1,5703465285,5703465285,,,,,5703.465285,5703.465285,,,,
2010,2,5762451418,5762451418,,,,,5762.451418,5762.451418,,,,
2010,3,6661347946,6661347946,,,,,6661.347946,6661.347946,,,,
2010,4,6618552152,6618552152,,,,,6618.552152,6618.552152,,,,
2010,5,6410578775,6410578775,,,,,6410.578775,6410.578775,,,,
2010,6,4898035014,4898035014,,,,,4898.035014,4898.035014,,,,
2010,7,5296177638,5296177638,,,,,5296.177638,5296.177638,,,,
2010,8,7381346660,7381346660,,,,,7381.34666,7381.34666,,,,
2010,9,7546488744,7546488744,,,,,7546.488744,7546.488744,,,,
2010,10,10172844562,10172844562,,,,,10172.84456,10172.84456,,,,
2010,11,6948678354,6948678354,,,,,6948.678354,6948.678354,,,,
2010,12,7001952100,7001952100,,,,,7001.9521,7001.9521,,,,
2011,1,7568511227,7568511227,,,,,7568.511227,7568.511227,,,,
2011,2,6906248849,6906248849,,,,,6906.248849,6906.248849,,,,
2011,3,7326545928,7326545928,,,,,7326.545928,7326.545928,,,,
2011,4,6835492088,6835492088,,,,,6835.492088,6835.492088,,,,
2011,5,7009799378,7009799378,,,,,7009.799378,7009.799378,,,,
2011,6,6536675534,6536675534,,,,,6536.675534,6536.675534,,,,
2011,7,6571730164,6571730164,,,,,6571.730164,6571.730164,,,,
2011,8,6514500361,6514500361,,,,,6514.500361,6514.500361,,,,
2011,9,5837738935,5837738935,,,,,5837.738935,5837.738935,,,,
2011,10,6974424665,6974424665,,,,,6974.424665,6974.424665,,,,
2011,11,7507641641,7507641641,,,,,7507.641641,7507.641641,,,,
2011,12,6396357939,6396357939,,,,,6396.357939,6396.357939,,,,
2012,1,7808477339,7808477339,,,,,7808.477339,7808.477339,,,,
2012,2,7530127141,7530127141,,,,,7530.127141,7530.127141,,,,
2012,3,7358543625,7358543625,,,,,7358.543625,7358.543625,,,,
2012,4,7220029422,7220029422,,,,,7220.029422,7220.029422,,,,
2012,5,7784479302,7784479302,,,,,7784.479302,7784.479302,,,,
2012,6,7524265988,7524265988,,,,,7524.265988,7524.265988,,,,
2012,7,7819376527,7819376527,,,,,7819.376527,7819.376527,,,,
2012,8,7885641059,7885641059,,,,,7885.641059,7885.641059,,,,
2012,9,7913689733,7913689733,,,,,7913.689733,7913.689733,,,,
2012,10,8379960050,8379960050,,,,,8379.96005,8379.96005,,,,
2012,11,8219987195,8219987195,,,,,8219.987195,8219.987195,,,,
2012,12,8033826900,8033826900,,,,,8033.8269,8033.8269,,,,
2013,1,9126210673,9126210673,,,,,9126.210673,9126.210673,,,,
2013,2,8100597857,8100597857,,,,,8100.597857,8100.597857,,,,
2013,3,8701419671,8701419671,,,,,8701.419671,8701.419671,,,,
2013,4,8049296729,8049296729,,,,,8049.296729,8049.296729,,,,
2013,5,8089099883,8089099883,,,,,8089.099883,8089.099883,,,,
2013,6,7759959725,7759959725,,,,,7759.959725,7759.959725,,,,
2013,7,8237301982,8237301982,,,,,8237.301982,8237.301982,,,,
2013,8,9306122925,9306122925,,,,,9306.122925,9306.122925,,,,
2013,9,9985326806,9985326806,,,,,9985.326806,9985.326806,,,,
2013,10,10775158269,10775158269,,,,,10775.15827,10775.15827,,,,
2013,11,10414877805,10414877805,,,,,10414.87781,10414.87781,,,,
2013,12,7102459747,7102459747,,,,,7102.459747,7102.459747,,,,
2014,1,7026531269,7026531269,,,,,7026.531269,7026.531269,,,,
2014,2,6718243109,6718243109,,,,,6718.243109,6718.243109,,,,
2014,3,7464128273,7464128273,,,,,7464.128273,7464.128273,,,,
2014,4,7216245221,7216245221,,,,,7216.245221,7216.245221,,,,
2014,5,7543277646,7543277646,,,,,7543.277646,7543.277646,,,,
2014,6,6577352648,6577352648,,,,,6577.352648,6577.352648,,,,
2014,7,6761059566,6761059566,,,,,6761.059566,6761.059566,,,,
2014,8,6687313714,6687313714,,,,,6687.313714,6687.313714,,,,
2014,9,7564600999,7564600999,,,,,7564.600999,7564.600999,,,,
2014,10,9669079813,6577533128,3091546685,,,,9669.079813,6577.533128,3091.546685,,,
2014,11,9181027274,6153537606,3027489668,,,,9181.027274,6153.537606,3027.489668,,,
2014,12,9109282269,5830332248,3278950021,,,,9109.282269,5830.332248,3278.950021,,,
2015,1,9589069146,6103767055,3485302091,,,,9589.069146,6103.767055,3485.302091,,,
2015,2,8694244918,5602710439,3091534479,,,,8694.244918,5602.710439,3091.534479,,,
2015,3,9677435301,6346602713,3330832588,,,,9677.435301,6346.602713,3330.832588,,,
2015,4,9421035574,6198945657,3222089917,,,,9421.035574,6198.945657,3222.089917,,,
2015,5,9657871297,6323801814,3334069483,,,,9657.871297,6323.801814,3334.069483,,,
2015,6,8203576103,5165413640,3038162463,,,,8203.576103,5165.41364,3038.162463,,,
2015,7,8483698717,5229226022,3254472695,7665421980,4376666686,3288755294,8483.698717,5229.226022,3254.472695,7665.42198,4376.666686,3288.755294
2015,8,8304022031,5035534449,3268487582,7634815221,4332482183,3302333038,8304.022031,5035.534449,3268.487582,7634.815221,4332.482183,3302.333038
2015,9,8582061182,5409631355,3172429827,7655695037,4485491704,3170203333,8582.061182,5409.631355,3172.429827,7655.695037,4485.491704,3170.203333
